J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
27.049	21.972	20.170	2.681	27.353	21.972	21.121	2.730
27.065	22.022	20.220	2.683	27.369	22.022	21.171	2.732
27.081	22.072	20.270	2.685	27.384	22.072	21.221	2.734
27.097	22.122	20.320	2.687	27.400	22.122	21.271	2.736
27.112	22.172	20.370	2.689	27.416	22.172	21.321	2.738
27.128	22.222	20.420	2.691	27.431	22.222	21.371	2.740
27.144	22.272	20.470	2.693	27.447	22.272	21.421	2.742
27.160	22.322	20.521	2.695	27.463	22.322	21.471	2.744
27.176	22.372	20.571	2.697	27.478	22.372	21.522	2.746
27.192	22.422	20.621	2.699	27.494	22.422	21.572	2.748
27.207	22.472	20.671	2.701	27.510	22.472	21.622	2.750
27.223	22.523	20.721	2.703	27.525	22.523	21.672	2.752
27.239	22.573	20.771	2.705	27.541	22.573	21.722	2.754
27.255	22.623	20.821	2.707	27.556	22.623	21.722	2.806
27.271	22.673	20.871	2.709	27.572	22.673	21.772	2.808
27.286	22.723	20.921	2.711	27.588	22.723	21.822	2.810
27.302	22.773	20.971	2.713	27.603	22.773	21.872	2.812
27.318	22.823	21.021	2.715	27.619	22.823	21.922	2.814
27.334	22.873	21.071	2.717	27.634	22.873	21.972	2.816
27.349	22.923	21.121	2.719	27.650	22.923	22.022	2.818
27.365	22.973	21.171	2.721	27.665	22.973	22.072	2.820
27.381	23.023	21.221	2.723	27.681	23.023	22.122	2.822
27.397	23.073	21.271	2.725	27.696	23.073	22.172	2.824
27.412	23.123	21.321	2.727	27.712	23.123	22.222	2.826
27.428	23.173	21.321	2.779	27.727	23.173	22.272	2.828
27.444	23.223	21.371	2.781	27.743	23.223	22.322	2.830
27.459	23.273	21.421	2.783	27.758	23.273	22.372	2.832
27.475	23.323	21.471	2.785	27.774	23.323	22.422	2.834
27.491	23.373	21.522	2.787	27.789	23.373	22.472	2.836
27.506	23.423	21.572	2.789	27.805	23.423	22.523	2.838
27.522	23.473	21.622	2.791	27.820	23.473	22.573	2.840
27.538	23.524	21.672	2.793	27.836	23.524	22.623	2.842
27.553	23.574	21.722	2.795	27.851	23.574	22.673	2.844
27.569	23.624	21.772	2.797	27.867	23.624	22.723	2.846
27.584	23.674	21.822	2.799	27.882	23.674	22.773	2.848
27.600	23.724	21.872	2.801	27.897	23.724	22.823	2.850
27.615	23.774	21.922	2.803	27.913	23.774	22.873	2.852
27.631	23.824	21.972	2.805	27.928	23.824	22.923	2.854
27.647	23.874	22.022	2.807	27.944	23.874	22.973	2.856
27.662	23.924	22.072	2.809	27.959	23.924	23.023	2.858
27.678	23.974	22.122	2.811	27.974	23.974	23.073	2.860
27.693	24.024	22.172	2.813	27.990	24.024	23.123	2.862
27.709	24.074	22.222	2.815	28.005	24.074	23.173	2.864
27.724	24.124	22.272	2.817	28.020	24.124	23.223	2.866
27.740	24.174	22.322	2.819	28.036	24.174	23.273	2.868
27.755	24.224	22.372	2.821	28.051	24.224	23.323	2.870
27.771	24.274	22.422	2.823	28.066	24.274	23.373	2.872
27.786	24.324	22.472	2.825	28.081	24.324	23.423	2.874
27.802	24.374	22.523	2.827	28.097	24.374	23.423	2.926
27.817	24.424	22.573	2.829	28.112	24.424	23.473	2.928
27.832	24.474	22.623	2.831	28.127	24.474	23.524	2.930
27.848	24.525	22.673	2.833	28.143	24.525	23.574	2.932
27.863	24.575	22.723	2.835	28.158	24.575	23.624	2.934
27.879	24.625	22.773	2.837	28.173	24.625	23.674	2.936
27.894	24.675	22.823	2.839	28.188	24.675	23.724	2.938
27.910	24.725	22.873	2.841	28.204	24.725	23.774	2.940
27.925	24.775	22.923	2.843	28.219	24.775	23.824	2.942
27.940	24.825	22.973	2.845	28.234	24.825	23.874	2.944
27.956	24.875	23.023	2.847	28.249	24.875	23.924	2.946
27.971	24.925	23.073	2.849	28.264	24.925	23.974	2.948
27.986	24.975	23.073	2.901	28.279	24.975	24.024	2.950
28.002	25.025	23.123	2.903	28.295	25.025	24.074	2.952
28.017	25.075	23.173	2.905	28.310	25.075	24.124	2.954
28.032	25.125	23.223	2.907	28.325	25.125	24.174	2.956
28.048	25.175	23.273	2.909	28.340	25.175	24.224	2.958
28.063	25.225	23.323	2.911	28.355	25.225	24.274	2.960
28.078	25.275	23.373	2.913	28.370	25.275	24.324	2.962
28.094	25.325	23.423	2.915	28.385	25.325	24.374	2.964
28.109	25.375	23.473	2.917	28.401	25.375	24.424	2.966
28.124	25.425	23.524	2.919	28.416	25.425	24.474	2.968
28.139	25.475	23.574	2.921	28.431	25.475	24.525	2.970
28.155	25.526	23.624	2.923	28.446	25.526	24.575	2.972
28.170	25.576	23.674	2.925	28.461	25.576	24.625	2.974
28.185	25.626	23.724	2.927	28.476	25.626	24.675	2.976
28.200	25.676	23.774	2.929	28.491	25.676	24.725	2.978
28.216	25.726	23.824	2.931	28.506	25.726	24.775	2.980
28.231	25.776	23.874	2.933	28.521	25.776	24.825	2.982
28.246	25.826	23.924	2.935	28.536	25.826	24.875	2.984
28.261	25.876	23.974	2.937	28.551	25.876	24.925	2.986
28.276	25.926	24.024	2.939	28.566	25.926	24.975	2.988
28.291	25.976	24.074	2.941	28.581	25.976	25.025	2.990
28.307	26.026	24.124	2.943	28.596	26.026	25.075	2.992
28.322	26.076	24.174	2.945	28.611	26.076	25.125	2.994
28.337	26.126	24.224	2.947	28.626	26.126	25.175	2.996
28.352	26.176	24.274	2.949	28.641	26.176	25.175	3.048
28.367	26.226	24.324	2.951	28.656	26.226	25.225	3.050
28.382	26.276	24.374	2.953	28.671	26.276	25.275	3.052
28.397	26.326	24.424	2.955	28.686	26.326	25.325	3.054
28.413	26.376	24.474	2.957	28.701	26.376	25.375	3.056
28.428	26.426	24.525	2.959	28.716	26.426	25.425	3.058
28.443	26.476	24.575	2.961	28.731	26.476	25.475	3.060
28.458	26.527	24.625	2.963	28.746	26.527	25.526	3.062
28.473	26.577	24.675	2.965	28.761	26.577	25.576	3.064
28.488	26.627	24.725	2.967	28.776	26.627	25.626	3.066
28.503	26.677	24.775	2.969	28.791	26.677	25.676	3.068
28.518	26.727	24.825	2.971	28.805	26.727	25.726	3.070
28.533	26.777	24.825	3.023	28.820	26.777	25.776	3.072
