J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
31.713	37.988	35.786	3.722	31.970	37.988	36.687	3.821
31.726	38.038	35.836	3.724	31.984	38.038	36.737	3.823
31.740	38.088	35.886	3.726	31.997	38.088	36.787	3.825
31.753	38.138	35.936	3.728	32.010	38.138	36.837	3.827
31.767	38.188	35.936	3.780	32.024	38.188	36.887	3.829
31.780	38.238	35.986	3.782	32.037	38.238	36.937	3.831
31.794	38.288	36.036	3.784	32.050	38.288	36.987	3.833
31.807	38.338	36.086	3.786	32.064	38.338	37.037	3.835
31.820	38.388	36.136	3.788	32.077	38.388	37.087	3.837
31.834	38.438	36.186	3.790	32.090	38.438	37.137	3.839
31.847	38.488	36.236	3.792	32.104	38.488	37.187	3.841
31.861	38.539	36.286	3.794	32.117	38.539	37.237	3.843
31.874	38.589	36.336	3.796	32.130	38.589	37.287	3.845
31.887	38.639	36.386	3.798	32.143	38.639	37.337	3.847
31.901	38.689	36.436	3.800	32.157	38.689	37.387	3.849
31.914	38.739	36.486	3.802	32.170	38.739	37.437	3.851
31.928	38.789	36.537	3.804	32.183	38.789	37.487	3.853
31.941	38.839	36.587	3.806	32.196	38.839	37.538	3.855
31.954	38.889	36.637	3.808	32.210	38.889	37.588	3.857
31.968	38.939	36.687	3.810	32.223	38.939	37.638	3.859
31.981	38.989	36.737	3.812	32.236	38.989	37.688	3.861
31.994	39.039	36.787	3.814	32.249	39.039	37.738	3.863
32.008	39.089	36.837	3.816	32.263	39.089	37.788	3.865
32.021	39.139	36.887	3.818	32.276	39.139	37.838	3.867
32.034	39.189	36.937	3.820	32.289	39.189	37.888	3.869
32.048	39.239	36.987	3.822	32.302	39.239	37.938	3.871
32.061	39.289	37.037	3.824	32.315	39.289	37.988	3.873
32.074	39.339	37.087	3.826	32.329	39.339	38.038	3.875
32.087	39.389	37.137	3.828	32.342	39.389	38.088	3.877
32.101	39.439	37.187	3.830	32.355	39.439	38.138	3.879
32.114	39.489	37.237	3.832	32.368	39.489	38.188	3.881
32.127	39.540	37.287	3.834	32.381	39.540	38.238	3.883
32.141	39.590	37.337	3.836	32.394	39.590	38.288	3.885
32.154	39.640	37.387	3.838	32.408	39.640	38.288	3.937
32.167	39.690	37.437	3.840	32.421	39.690	38.338	3.939
32.180	39.740	37.487	3.842	32.434	39.740	38.388	3.941
32.194	39.790	37.538	3.844	32.447	39.790	38.438	3.943
32.207	39.840	37.588	3.846	32.460	39.840	38.488	3.945
32.220	39.890	37.638	3.848	32.473	39.890	38.539	3.947
32.233	39.940	37.688	3.850	32.486	39.940	38.589	3.949
32.247	39.990	37.738	3.852	32.500	39.990	38.639	3.951
32.260	40.040	37.788	3.854	32.513	40.040	38.689	3.953
32.273	40.090	37.838	3.856	32.526	40.090	38.739	3.955
32.286	40.140	37.888	3.858	32.539	40.140	38.789	3.957
32.299	40.190	37.888	3.910	32.552	40.190	38.839	3.959
32.313	40.240	37.938	3.912	32.565	40.240	38.889	3.961
32.326	40.290	37.988	3.914	32.578	40.290	38.939	3.963
32.339	40.340	38.038	3.916	32.591	40.340	38.989	3.965
32.352	40.390	38.088	3.918	32.604	40.390	39.039	3.967
32.365	40.440	38.138	3.920	32.617	40.440	39.089	3.969
32.379	40.490	38.188	3.922	32.631	40.490	39.139	3.971
32.392	40.541	38.238	3.924	32.644	40.541	39.189	3.973
32.405	40.591	38.288	3.926	32.657	40.591	39.239	3.975
32.418	40.641	38.338	3.928	32.670	40.641	39.289	3.977
32.431	40.691	38.388	3.930	32.683	40.691	39.339	3.979
32.444	40.741	38.438	3.932	32.696	40.741	39.389	3.981
32.457	40.791	38.488	3.934	32.709	40.791	39.439	3.983
32.471	40.841	38.539	3.936	32.722	40.841	39.489	3.985
32.484	40.891	38.589	3.938	32.735	40.891	39.540	3.987
32.497	40.941	38.639	3.940	32.748	40.941	39.590	3.989
32.510	40.991	38.689	3.942	32.761	40.991	39.640	3.991
32.523	41.041	38.739	3.944	32.774	41.041	39.690	3.993
32.536	41.091	38.789	3.946	32.787	41.091	39.740	3.995
32.549	41.141	38.839	3.948	32.800	41.141	39.790	3.997
32.562	41.191	38.889	3.950	32.813	41.191	39.840	3.999
32.575	41.241	38.939	3.952	32.826	41.241	39.890	4.001
32.589	41.291	38.989	3.954	32.839	41.291	39.940	4.003
32.602	41.341	39.039	3.956	32.852	41.341	39.990	4.005
32.615	41.391	39.089	3.958	32.865	41.391	40.040	4.007
32.628	41.441	39.139	3.960	32.878	41.441	40.090	4.009
32.641	41.491	39.189	3.962	32.891	41.491	40.140	4.011
32.654	41.542	39.239	3.964	32.904	41.542	40.190	4.013
32.667	41.592	39.289	3.966	32.917	41.592	40.190	4.065
32.680	41.642	39.339	3.968	32.930	41.642	40.240	4.067
32.693	41.692	39.389	3.970	32.943	41.692	40.290	4.069
32.706	41.742	39.439	3.972	32.955	41.742	40.340	4.071
32.719	41.792	39.489	3.974	32.968	41.792	40.390	4.073
32.732	41.842	39.540	3.976	32.981	41.842	40.440	4.075
32.745	41.892	39.590	3.978	32.994	41.892	40.490	4.077
32.758	41.942	39.640	3.980	33.007	41.942	40.541	4.079
32.771	41.992	39.690	3.982	33.020	41.992	40.591	4.081
32.784	42.042	39.740	3.984	33.033	42.042	40.641	4.083
32.797	42.092	39.790	3.986	33.046	42.092	40.691	4.085
32.810	42.142	39.790	4.038	33.059	42.142	40.741	4.087
32.823	42.192	39.840	4.040	33.072	42.192	40.791	4.089
32.836	42.242	39.890	4.042	33.085	42.242	40.841	4.091
32.849	42.292	39.940	4.044	33.097	42.292	40.891	4.093
32.862	42.342	39.990	4.046	33.110	42.342	40.941	4.095
32.875	42.392	40.040	4.048	33.123	42.392	40.991	4.097
32.888	42.442	40.090	4.050	33.136	42.442	41.041	4.099
32.901	42.492	40.140	4.052	33.149	42.492	41.091	4.101
32.914	42.543	40.190	4.054	33.162	42.543	41.141	4.103
32.927	42.593	40.240	4.056	33.175	42.593	41.191	4.105
32.940	42.643	40.290	4.058	33.187	42.643	41.241	4.107
32.953	42.693	40.340	4.060	33.200	42.693	41.291	4.109
32.966	42.743	40.390	4.062	33.213	42.743	41.341	4.111
32.979	42.793	40.440	4.064	33.226	42.793	41.391	4.113
32.991	42.843	40.490	4.066	33.239	42.843	41.441	4.115
33.004	42.893	40.541	4.068	33.252	42.893	41.491	4.117
33.017	42.943	40.591	4.070	33.264	42.943	41.542	4.119
33.030	42.993	40.641	4.072	33.277	42.993	41.592	4.121
33.043	43.043	40.691	4.074	33.290	43.043	41.642	4.123
33.056	43.093	40.741	4.076	33.303	43.093	41.692	4.125
33.069	43.143	40.791	4.078	33.316	43.143	41.742	4.127
33.082	43.193	40.841	4.080	33.328	43.193	41.792	4.129
33.095	43.243	40.891	4.082	33.341	43.243	41.842	4.131
33.108	43.293	40.941	4.084	33.354	43.293	41.892	4.133
33.120	43.343	40.991	4.086	33.367	43.343	41.942	4.135
33.133	43.393	41.041	4.088	33.379	43.393	41.992	4.137
33.146	43.443	41.091	4.090	33.392	43.443	42.042	4.139
33.159	43.493	41.141	4.092	33.405	43.493	42.092	4.141
33.172	43.544	41.191	4.094	33.418	43.544	42.092	4.193
33.185	43.594	41.241	4.096	33.430	43.594	42.142	4.195
33.197	43.644	41.291	4.098	33.443	43.644	42.192	4.197
33.210	43.694	41.341	4.100	33.456	43.694	42.242	4.199
33.223	43.744	41.391	4.102	33.469	43.744	42.292	4.201
33.236	43.794	41.441	4.104	33.481	43.794	42.342	4.203
33.249	43.844	41.491	4.106	33.494	43.844	42.392	4.205
33.262	43.894	41.542	4.108	33.507	43.894	42.442	4.207
33.274	43.944	41.592	4.110	33.519	43.944	42.492	4.209
33.287	43.994	41.642	4.112	33.532	43.994	42.543	4.211
33.300	44.044	41.692	4.114	33.545	44.044	42.593	4.213
33.313	44.094	41.742	4.116	33.558	44.094	42.643	4.215
33.326	44.144	41.742	4.168	33.570	44.144	42.693	4.217
33.338	44.194	41.792	4.170	33.583	44.194	42.743	4.219
33.351	44.244	41.842	4.172	33.596	44.244	42.793	4.221
33.364	44.294	41.892	4.174	33.608	44.294	42.843	4.223
33.377	44.344	41.942	4.176	33.621	44.344	42.893	4.225
33.389	44.394	41.992	4.178	33.634	44.394	42.943	4.227
33.402	44.444	42.042	4.180	33.646	44.444	42.993	4.229
33.415	44.494	42.092	4.182	33.659	44.494	43.043	4.231
33.428	44.545	42.142	4.184	33.672	44.545	43.093	4.233
33.440	44.595	42.192	4.186	33.684	44.595	43.143	4.235
33.453	44.645	42.242	4.188	33.697	44.645	43.193	4.237
33.466	44.695	42.292	4.190	33.710	44.695	43.243	4.239
33.479	44.745	42.342	4.192	33.722	44.745	43.293	4.241
33.491	44.795	42.392	4.194	33.735	44.795	43.343	4.243
33.504	44.845	42.442	4.196	33.747	44.845	43.393	4.245
33.517	44.895	42.492	4.198	33.760	44.895	43.443	4.247
33.529	44.945	42.543	4.200	33.773	44.945	43.493	4.249
33.542	44.995	42.593	4.202	33.785	44.995	43.544	4.251
33.555	45.045	42.643	4.204	33.798	45.045	43.594	4.253
33.568	45.095	42.693	4.206	33.810	45.095	43.644	4.255
33.580	45.145	42.743	4.208	33.823	45.145	43.694	4.257
33.593	45.195	42.793	4.210	33.836	45.195	43.744	4.259
33.606	45.245	42.843	4.212	33.848	45.245	43.794	4.261
33.618	45.295	42.893	4.214	33.861	45.295	43.844	4.263
33.631	45.345	42.943	4.216	33.873	45.345	43.894	4.265
33.644	45.395	42.993	4.218	33.886	45.395	43.944	4.267
33.656	45.445	43.043	4.220	33.899	45.445	43.994	4.269
33.669	45.495	43.093	4.222	33.911	45.495	44.044	4.271
33.682	45.546	43.143	4.224	33.924	45.546	44.044	4.323
33.694	45.596	43.193	4.226	33.936	45.596	44.094	4.325
33.707	45.646	43.243	4.228	33.949	45.646	44.144	4.327
33.720	45.696	43.293	4.230	33.961	45.696	44.194	4.329
33.732	45.746	43.343	4.232	33.974	45.746	44.244	4.331
33.745	45.796	43.393	4.234	33.986	45.796	44.294	4.333
33.757	45.846	43.443	4.236	33.999	45.846	44.344	4.335
33.770	45.896	43.493	4.238	34.011	45.896	44.394	4.337
33.783	45.946	43.544	4.240	34.024	45.946	44.444	4.339
33.795	45.996	43.594	4.242	34.036	45.996	44.494	4.341
33.808	46.046	43.644	4.244	34.049	46.046	44.545	4.343
33.820	46.096	43.644	4.296	34.061	46.096	44.595	4.345
33.833	46.146	43.694	4.298	34.074	46.146	44.645	4.347
33.846	46.196	43.744	4.300	34.086	46.196	44.695	4.349
33.858	46.246	43.794	4.302	34.099	46.246	44.745	4.351
33.871	46.296	43.844	4.304	34.111	46.296	44.795	4.353
33.883	46.346	43.894	4.306	34.124	46.346	44.845	4.355
33.896	46.396	43.944	4.308	34.136	46.396	44.895	4.357
33.908	46.446	43.994	4.310	34.149	46.446	44.945	4.359
33.921	46.496	44.044	4.312	34.161	46.496	44.995	4.361
33.934	46.547	44.094	4.314	34.174	46.547	45.045	4.363
33.946	46.597	44.144	4.316	34.186	46.597	45.095	4.365
33.959	46.647	44.194	4.318	34.199	46.647	45.145	4.367
33.971	46.697	44.244	4.320	34.211	46.697	45.195	4.369
33.984	46.747	44.294	4.322	34.224	46.747	45.245	4.371
33.996	46.797	44.344	4.324	34.236	46.797	45.295	4.373
34.009	46.847	44.394	4.326	34.248	46.847	45.345	4.375
34.021	46.897	44.444	4.328	34.261	46.897	45.395	4.377
34.034	46.947	44.494	4.330	34.273	46.947	45.445	4.379
34.046	46.997	44.545	4.332	34.286	46.997	45.495	4.381
34.059	47.047	44.595	4.334	34.298	47.047	45.546	4.383
34.071	47.097	44.645	4.336	34.311	47.097	45.596	4.385
34.084	47.147	44.695	4.338	34.323	47.147	45.646	4.387
34.096	47.197	44.745	4.340	34.335	47.197	45.696	4.389
34.109	47.247	44.795	4.342	34.348	47.247	45.746	4.391
34.121	47.297	44.845	4.344	34.360	47.297	45.796	4.393
34.134	47.347	44.895	4.346	34.373	47.347	45.846	4.395
34.146	47.397	44.945	4.348	34.385	47.397	45.896	4.397
34.159	47.447	44.995	4.350	34.397	47.447	45.946	4.399
34.171	47.497	45.045	4.352	34.410	47.497	45.996	4.401
34.184	47.548	45.095	4.354	34.422	47.548	46.046	4.403
34.196	47.598	45.145	4.356	34.434	47.598	46.046	4.455
34.208	47.648	45.195	4.358	34.447	47.648	46.096	4.457
34.221	47.698	45.245	4.360	34.459	47.698	46.146	4.459
34.233	47.748	45.295	4.362	34.471	47.748	46.196	4.461
34.246	47.798	45.345	4.364	34.484	47.798	46.246	4.463
34.258	47.848	45.395	4.366	34.496	47.848	46.296	4.465
34.271	47.898	45.445	4.368	34.508	47.898	46.346	4.467
34.283	47.948	45.495	4.370	34.521	47.948	46.396	4.469
34.295	47.998	45.546	4.372	34.533	47.998	46.446	4.471
34.308	48.048	45.596	4.374	34.545	48.048	46.496	4.473
34.320	48.098	45.596	4.426	34.558	48.098	46.547	4.475
34.333	48.148	45.646	4.428	34.570	48.148	46.597	4.477
34.345	48.198	45.696	4.430	34.582	48.198	46.647	4.479
34.357	48.248	45.746	4.432	34.595	48.248	46.697	4.481
34.370	48.298	45.796	4.434	34.607	48.298	46.747	4.483
34.382	48.348	45.846	4.436	34.619	48.348	46.797	4.485
34.395	48.398	45.896	4.438	34.632	48.398	46.847	4.487
34.407	48.448	45.946	4.440	34.644	48.448	46.897	4.489
34.419	48.498	45.996	4.442	34.656	48.498	46.947	4.491
34.432	48.549	46.046	4.444	34.668	48.549	46.997	4.493
34.444	48.599	46.096	4.446	34.681	48.599	47.047	4.495
34.456	48.649	46.146	4.448	34.693	48.649	47.097	4.497
34.469	48.699	46.196	4.450	34.705	48.699	47.147	4.499
34.481	48.749	46.246	4.452	34.718	48.749	47.197	4.502
34.494	48.799	46.296	4.454	34.730	48.799	47.247	4.504
34.506	48.849	46.346	4.456	34.742	48.849	47.297	4.506
34.518	48.899	46.396	4.458	34.754	48.899	47.347	4.508
34.531	48.949	46.446	4.460	34.767	48.949	47.397	4.510
34.543	48.999	46.496	4.462	34.779	48.999	47.447	4.512
34.555	49.049	46.547	4.464	34.791	49.049	47.497	4.514
34.567	49.099	46.597	4.466	34.803	49.099	47.548	4.516
34.580	49.149	46.647	4.468	34.815	49.149	47.598	4.518
34.592	49.199	46.697	4.470	34.828	49.199	47.648	4.520
34.604	49.249	46.747	4.472	34.840	49.249	47.698	4.522
34.617	49.299	46.797	4.474	34.852	49.299	47.748	4.524
34.629	49.349	46.847	4.476	34.864	49.349	47.798	4.526
34.641	49.399	46.897	4.478	34.877	49.399	47.848	4.528
34.654	49.449	46.947	4.480	34.889	49.449	47.898	4.530
34.666	49.499	46.997	4.482	34.901	49.499	47.948	4.532
34.678	49.550	47.047	4.484	34.913	49.550	47.948	4.584
34.690	49.600	47.097	4.486	34.925	49.600	47.998	4.586
34.703	49.650	47.147	4.488	34.937	49.650	48.048	4.588
34.715	49.700	47.197	4.490	34.950	49.700	48.098	4.590
34.727	49.750	47.247	4.492	34.962	49.750	48.148	4.592
34.739	49.800	47.297	4.494	34.974	49.800	48.198	4.594
34.752	49.850	47.347	4.496	34.986	49.850	48.248	4.596
34.764	49.900	47.397	4.498	34.998	49.900	48.298	4.598
34.776	49.950	47.447	4.501	35.010	49.950	48.348	4.600
34.788	50.000	47.497	4.503	35.023	50.000	48.398	4.602
