J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
17.100	0.000	0.000	0.000	18.100	0.000	0.000	1.000
20.272	5.556	5.556	0.222	20.906	5.556	5.556	1.222
22.485	11.111	11.111	0.444	23.020	11.111	11.111	1.444
24.444	16.667	16.667	0.667	24.918	16.667	16.667	1.667
26.236	22.222	22.222	0.889	26.667	22.222	22.222	1.889
27.903	27.778	27.778	1.111	28.301	27.778	27.778	2.111
29.473	33.333	27.778	6.889	29.845	33.333	33.333	2.333
30.984	38.889	33.333	7.111	31.325	38.889	38.889	2.556
32.434	44.444	38.889	7.333	32.744	44.444	44.444	2.778
33.826	50.000	44.444	7.556	34.107	50.000	50.000	3.000
