J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
17.689	0.000	0.000	0.000	18.724	0.000	0.505	0.495
18.414	0.505	0.000	0.525	19.030	0.505	0.505	1.020
18.759	1.010	0.505	0.545	19.325	1.010	1.010	1.040
19.057	1.515	1.010	0.566	19.588	1.515	1.515	1.061
19.349	2.020	1.010	1.091	19.847	2.020	2.020	1.081
19.612	2.525	1.515	1.111	20.086	2.525	2.525	1.101
19.871	3.030	2.020	1.131	20.321	3.030	3.030	1.121
20.110	3.535	2.525	1.152	20.546	3.535	3.030	1.646
20.345	4.040	3.030	1.172	20.768	4.040	3.535	1.667
20.569	4.545	3.535	1.192	20.988	4.545	4.040	1.687
20.790	5.051	4.040	1.212	21.205	5.051	4.545	1.707
21.009	5.556	4.545	1.232	21.420	5.556	5.051	1.727
21.225	6.061	5.051	1.253	21.632	6.061	5.556	1.747
21.439	6.566	5.051	1.778	21.841	6.566	6.061	1.768
21.651	7.071	5.556	1.798	22.048	7.071	6.566	1.788
21.860	7.576	6.061	1.818	22.253	7.576	7.071	1.808
22.067	8.081	6.566	1.838	22.455	8.081	7.576	1.828
22.271	8.586	7.071	1.859	22.655	8.586	8.081	1.848
22.473	9.091	7.576	1.879	22.853	9.091	8.586	1.869
22.673	9.596	8.081	1.899	23.048	9.596	9.091	1.889
22.871	10.101	8.586	1.919	23.242	10.101	9.596	1.909
23.067	10.606	9.091	1.939	23.434	10.606	10.101	1.929
23.260	11.111	9.596	1.960	23.623	11.111	10.606	1.949
23.452	11.616	10.101	1.980	23.811	11.616	11.111	1.970
23.641	12.121	10.606	2.000	23.997	12.121	11.616	1.990
23.829	12.626	11.111	2.020	24.181	12.626	12.121	2.010
24.015	13.131	11.616	2.040	24.364	13.131	12.626	2.030
24.199	13.636	12.121	2.061	24.544	13.636	13.131	2.051
24.381	14.141	12.626	2.081	24.723	14.141	13.636	2.071
24.562	14.646	13.131	2.101	24.900	14.646	14.141	2.091
24.741	15.152	13.636	2.121	25.076	15.152	14.646	2.111
24.918	15.657	14.141	2.141	25.250	15.657	15.152	2.131
25.094	16.162	14.646	2.162	25.423	16.162	15.657	2.152
25.268	16.667	15.152	2.182	25.594	16.667	16.162	2.172
25.440	17.172	15.657	2.202	25.764	17.172	16.667	2.192
25.611	17.677	16.162	2.222	25.932	17.677	17.172	2.212
25.781	18.182	16.667	2.242	26.100	18.182	17.172	2.737
25.949	18.687	17.172	2.263	26.266	18.687	17.677	2.758
26.116	19.192	17.677	2.283	26.431	19.192	18.182	2.778
26.282	19.697	18.182	2.303	26.595	19.697	18.687	2.798
26.447	20.202	18.687	2.323	26.758	20.202	19.192	2.818
26.610	20.707	19.192	2.343	26.920	20.707	19.697	2.838
26.773	21.212	19.192	2.869	27.082	21.212	20.202	2.859
26.935	21.717	19.697	2.889	27.242	21.717	20.707	2.879
27.096	22.222	20.202	2.909	27.401	22.222	21.212	2.899
27.257	22.727	20.707	2.929	27.559	22.727	21.717	2.919
27.416	23.232	21.212	2.949	27.716	23.232	22.222	2.939
27.574	23.737	21.717	2.970	27.873	23.737	22.727	2.960
27.731	24.242	22.222	2.990	28.028	24.242	23.232	2.980
27.887	24.747	22.727	3.010	28.183	24.747	23.737	3.000
28.043	25.253	23.232	3.030	28.336	25.253	24.242	3.020
28.197	25.758	23.737	3.051	28.489	25.758	24.747	3.040
28.351	26.263	24.242	3.071	28.641	26.263	25.253	3.061
28.504	26.768	24.747	3.091	28.792	26.768	25.758	3.081
28.656	27.273	25.253	3.111	28.942	27.273	26.263	3.101
