J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
28.807	27.778	25.758	3.131	29.092	27.778	26.768	3.121
28.957	28.283	26.263	3.152	29.240	28.283	27.273	3.141
29.106	28.788	26.768	3.172	29.388	28.788	27.778	3.162
29.255	29.293	27.273	3.192	29.535	29.293	28.283	3.182
29.402	29.798	27.778	3.212	29.682	29.798	28.788	3.202
29.549	30.303	28.283	3.232	29.827	30.303	29.293	3.222
29.696	30.808	28.788	3.253	29.972	30.808	29.798	3.242
29.841	31.313	29.293	3.273	30.115	31.313	30.303	3.263
29.986	31.818	29.798	3.293	30.259	31.818	30.808	3.283
30.129	32.323	30.303	3.313	30.401	32.323	31.313	3.303
30.273	32.828	30.808	3.333	30.543	32.828	31.818	3.323
30.415	33.333	31.313	3.354	30.684	33.333	32.323	3.343
30.557	33.838	31.818	3.374	30.824	33.838	32.828	3.364
30.697	34.343	32.323	3.394	30.963	34.343	33.333	3.384
30.838	34.848	32.828	3.414	31.102	34.848	33.838	3.404
30.977	35.354	33.333	3.434	31.241	35.354	34.343	3.424
31.116	35.859	33.838	3.455	31.378	35.859	34.848	3.444
31.254	36.364	34.343	3.475	31.515	36.364	35.354	3.465
31.392	36.869	34.848	3.495	31.651	36.869	35.859	3.485
31.528	37.374	35.354	3.515	31.787	37.374	35.859	4.010
31.664	37.879	35.859	3.535	31.922	37.879	36.364	4.030
31.800	38.384	36.364	3.556	32.056	38.384	36.869	4.051
31.935	38.889	36.869	3.576	32.190	38.889	37.374	4.071
32.069	39.394	37.374	3.596	32.324	39.394	37.879	4.091
32.203	39.899	37.879	3.616	32.457	39.899	38.384	4.111
32.336	40.404	37.879	4.141	32.589	40.404	38.889	4.131
32.469	40.909	38.384	4.162	32.721	40.909	39.394	4.152
32.602	41.414	38.889	4.182	32.852	41.414	39.899	4.172
32.733	41.919	39.394	4.202	32.983	41.919	40.404	4.192
32.865	42.424	39.899	4.222	33.113	42.424	40.909	4.212
32.995	42.929	40.404	4.242	33.243	42.929	41.414	4.232
33.126	43.434	40.909	4.263	33.372	43.434	41.919	4.253
33.255	43.939	41.414	4.283	33.501	43.939	42.424	4.273
33.385	44.444	41.919	4.303	33.629	44.444	42.929	4.293
33.513	44.949	42.424	4.323	33.757	44.949	43.434	4.313
33.642	45.455	42.929	4.343	33.884	45.455	43.939	4.333
33.769	45.960	43.434	4.364	34.011	45.960	44.444	4.354
33.897	46.465	43.939	4.384	34.138	46.465	44.949	4.374
34.023	46.970	44.444	4.404	34.263	46.970	45.455	4.394
34.150	47.475	44.949	4.424	34.389	47.475	45.960	4.414
34.275	47.980	45.455	4.444	34.514	47.980	46.465	4.434
34.401	48.485	45.960	4.465	34.638	48.485	46.970	4.455
34.525	48.990	46.465	4.485	34.762	48.990	47.475	4.475
34.650	49.495	46.970	4.505	34.885	49.495	47.980	4.495
34.774	50.000	47.475	4.525	35.008	50.000	48.485	4.515
